;prec;tmax;tmin;u10;v10
2016-01-01;28.2873535156;27.1300048828;22.8200073242;1.25999450684;-0.330001831055
2016-01-02;19.5004768372;24.5100097656;22.4100036621;-2.18000793457;1.95999145508
2016-01-03;30.1967983246;23.6900024414;22.0100097656;-5.00999450684;3.70999145508
2016-01-04;2.48831892014;23.7300109863;20.5400085449;-6.69999694824;2.44999694824
2016-01-05;0.55294406414;24.7200012207;20.0500183105;-6.63000488281;-0.199996948242
2016-01-06;0.00863000750542;26.7600097656;19.9100036621;-5.44999694824;-0.350006103516
2016-01-07;0.00863000750542;28.4200134277;20.5100097656;-3.83000183105;-0.570007324219
2016-01-08;0.00863000750542;28.9499816895;22.2799987793;-3.58000183105;-0.880004882812
2016-01-09;32.0543823242;27.1600036621;22.6900024414;-3.61000061035;-1.30000305176
2016-01-10;4.11263084412;25.7600097656;22.3800048828;-1.43000793457;-2.91000366211
2016-01-11;1.61566221714;26.8000183105;22.5199890137;0.800003051758;-4.61000061035
2016-01-12;35.9596710205;23.7200012207;22.2799987793;-0.479995727539;-4.00999450684
2016-01-13;59.3827171326;24.8999938965;22.490020752;-1.21000671387;-0.509994506836
2016-01-14;38.1196670532;25.0500183105;22.1100158691;-2.41999816895;4.0
2016-01-15;30.7843036652;24.6700134277;22.0500183105;-1.43000793457;1.36999511719
2016-01-16;19.8460617065;22.9100036621;20.6800231934;-2.33000183105;7.03999328613
2016-01-17;1.84895396233;22.0100097656;18.7300109863;-3.57000732422;5.81999206543
2016-01-18;9.28798103333;21.8800048828;19.8899841309;-5.13000488281;5.59999084473
2016-01-19;14.19551754;21.6399841309;19.8800048828;-5.07000732422;4.5299987793
2016-01-20;20.6755065918;22.1900024414;19.6300048828;-4.77000427246;4.25
2016-01-21;6.48863887787;22.490020752;19.8700256348;-1.91999816895;6.11000061035
2016-01-22;0.224621593952;23.9800109863;18.9700012207;-2.30000305176;4.92999267578
2016-01-23;0.0863805413246;24.4599914551;18.8500061035;-1.57000732422;3.11999511719
2016-01-24;0.00863000750542;26.1300048828;18.2900085449;-2.4700012207;-0.380004882812
2016-01-25;7.81918907166;26.4700012207;21.0700073242;-1.63000488281;-1.52000427246
2016-01-26;7.42174625397;28.0100097656;21.7600097656;0.709991455078;-0.830001831055
2016-01-27;11.1887950897;28.3999938965;22.6300048828;-0.949996948242;1.30000305176
2016-01-28;3.78430867195;24.9599914551;22.1399841309;-3.18000793457;1.55999755859
2016-01-29;18.1871871948;24.8000183105;22.1000061035;-2.5;-1.9700012207
2016-01-30;1.10590827465;27.7099914551;21.4499816895;-1.50999450684;-3.22999572754
2016-01-31;0.0259101390839;29.4599914551;21.7799987793;-0.43000793457;-2.58000183105
2016-02-01;0.00863000750542;30.2699890137;22.25;-0.110000610352;-2.22999572754
2016-02-02;0.00863000750542;29.240020752;21.1800231934;-1.00999450684;0.619995117188
2016-02-03;7.32671546936;29.3200073242;21.1499938965;-1.64999389648;1.41000366211
2016-02-04;1.99582493305;27.740020752;21.2699890137;-2.60000610352;0.0500030517578
2016-02-05;6.60957956314;29.2099914551;21.7099914551;-1.46000671387;-1.16999816895
2016-02-06;5.4431810379;27.0799865723;20.5400085449;-1.44000244141;2.30999755859
2016-02-07;2.85983181;25.8099975586;20.7799987793;-1.58999633789;2.11999511719
2016-02-08;7.94014978409;27.9499816895;21.240020752;-2.61000061035;0.0
2016-02-09;0.155501067638;28.5100097656;21.5700073242;-0.839996337891;-2.52000427246
2016-02-10;15.9667015076;28.6900024414;22.1200256348;0.559997558594;-0.690002441406
2016-02-11;14.4892807007;26.6000061035;21.3500061035;-2.68000793457;2.45999145508
2016-02-12;8.2511920929;23.4700012207;21.5100097656;-4.27000427246;3.0299987793
2016-02-13;4.18175172806;26.0799865723;19.8500061035;-4.41000366211;0.330001831055
2016-02-14;1.14911866188;28.8999938965;21.9499816895;-1.38000488281;-1.57000732422
2016-02-15;20.3817443848;27.7099914551;23.7099914551;-1.35000610352;-1.83999633789
2016-02-16;13.1932697296;26.4300231934;21.7200012207;-0.509994506836;-0.0700073242188
2016-02-17;14.7225513458;27.6499938965;22.9599914551;0.369995117188;-1.36999511719
2016-02-18;13.6079940796;25.75;22.8999938965;0.5;-1.66000366211
2016-02-19;5.97886514664;26.7300109863;22.7900085449;-1.46000671387;-1.5299987793
2016-02-20;33.203502655;26.0;22.7300109863;-0.809997558594;-2.71000671387
2016-02-21;26.9913444519;26.3500061035;22.5;-1.85000610352;-2.00999450684
2016-02-22;2.57471942902;25.8700256348;22.0700073242;-3.27000427246;-1.93000793457
2016-02-23;3.02398300171;26.8000183105;22.3500061035;-2.49000549316;-1.97999572754
2016-02-24;4.19903182983;28.1800231934;22.0299987793;-1.64999389648;-1.7799987793
2016-02-25;10.2988777161;27.7200012207;21.9400024414;0.139999389648;-2.30000305176
2016-02-26;3.27455472946;27.3600158691;22.5100097656;0.550003051758;-2.32000732422
