BP,Temp,CO2,Radiation
-394800,-4.397,266.993,418.641
-394700,-4.521,266.59,418.982
-394600,-4.645,266.093,419.323
-394500,-4.769,265.353,419.664
-394400,-4.892,264.614,420.005
-394300,-5.016,263.874,420.346
-394200,-5.076,263.135,420.687
-394100,-5.133,262.395,421.028
-394000,-5.191,261.656,421.369
-393900,-5.248,260.916,421.778
-393800,-5.306,260.177,422.198
-393700,-5.363,259.437,422.618
-393600,-5.395,258.697,423.038
-393500,-5.382,257.958,423.458
-393400,-5.368,257.218,423.878
-393300,-5.354,256.479,424.298
-393200,-5.341,255.739,424.718
-393100,-5.327,255,425.138
-393000,-5.314,254.26,425.558
-392900,-5.295,253.521,426.005
-392800,-5.273,252.781,426.457
-392700,-5.252,252.042,426.909
-392600,-5.23,251.302,427.361
-392500,-5.209,250.562,427.813
-392400,-5.188,250.337,428.265
-392300,-5.181,250.606,428.717
-392200,-5.246,250.874,429.17
-392100,-5.312,251.143,429.622
-392000,-5.377,251.411,430.074
-391900,-5.442,251.68,430.516
-391800,-5.507,251.948,430.957
-391700,-5.573,252.217,431.398
-391600,-5.579,252.485,431.839
-391500,-5.542,252.754,432.28
-391400,-5.506,253.022,432.721
-391300,-5.47,253.291,433.162
-391200,-5.433,253.559,433.603
-391100,-5.397,253.828,434.044
-391000,-5.36,254.096,434.485
-390900,-5.357,254.365,434.882
-390800,-5.354,254.633,435.271
-390700,-5.351,254.902,435.66
-390600,-5.348,255.171,436.049
-390500,-5.345,255.291,436.438
-390400,-5.342,255.393,436.827
-390300,-5.348,255.496,437.216
-390200,-5.363,255.598,437.605
-390100,-5.378,255.7,437.994
-390000,-5.394,255.802,438.383
-389900,-5.409,255.905,438.701
-389800,-5.425,256.007,439.007
-389700,-5.44,256.109,439.313
-389600,-5.382,256.211,439.619
-389500,-5.324,256.313,439.925
-389400,-5.266,256.416,440.232
-389300,-5.208,256.518,440.538
-389200,-5.15,256.62,440.844
-389100,-5.093,256.722,441.15
-389000,-5.065,256.825,441.456
-388900,-5.057,256.927,441.674
-388800,-5.049,257.029,441.877
-388700,-5.041,257.131,442.08
-388600,-5.033,257.234,442.283
-388500,-5.025,257.336,442.486
-388400,-5.041,257.438,442.689
-388300,-5.101,257.54,442.892
-388200,-5.162,257.643,443.095
-388100,-5.222,257.745,443.298
-388000,-5.282,257.847,443.501
-387900,-5.342,257.949,443.615
-387800,-5.4,258.052,443.714
-387700,-5.41,258.154,443.813
-387600,-5.419,258.256,443.912
-387500,-5.429,258.358,444.011
-387400,-5.438,258.461,444.11
-387300,-5.447,258.563,444.209
-387200,-5.457,258.665,444.308
-387100,-5.48,258.767,444.407
-387000,-5.51,258.87,444.506
-386900,-5.539,258.972,444.523
-386800,-5.569,259.074,444.526
-386700,-5.599,259.176,444.529
-386600,-5.629,259.279,444.532
-386500,-5.637,259.556,444.535
-386400,-5.591,259.879,444.538
-386300,-5.546,260.202,444.541
-386200,-5.5,260.526,444.544
-386100,-5.454,260.849,444.547
-386000,-5.408,261.172,444.55
-385900,-5.363,261.496,444.49
-385800,-5.233,261.819,444.42
-385700,-5.097,262.142,444.35
-385600,-4.962,262.466,444.28
-385500,-4.827,262.789,444.21
-385400,-4.692,263.112,444.14
-385300,-4.556,263.436,444.07
-385200,-4.473,263.759,444
-385100,-4.397,264.082,443.93
-385000,-4.321,264.406,443.86
-384900,-4.245,264.668,443.754
-384800,-4.169,264.312,443.642
-384700,-4.084,263.955,443.53
-384600,-3.928,263.599,443.418
-384500,-3.772,263.243,443.306
-384400,-3.616,262.886,443.194
-384300,-3.46,262.53,443.082
-384200,-3.304,262.174,442.97
-384100,-3.156,261.817,442.858
-384000,-3.013,261.461,442.746
-383900,-2.87,261.105,442.626
-383800,-2.727,260.748,442.505
-383700,-2.584,260.392,442.384
-383600,-2.518,260.036,442.263
-383500,-2.561,259.679,442.142
-383400,-2.605,259.323,442.021
-383300,-2.648,258.967,441.9
-383200,-2.691,258.61,441.779
-383100,-2.733,258.254,441.658
-383000,-2.772,257.898,441.537
-382900,-2.811,257.541,441.437
-382800,-2.85,257.185,441.34
-382700,-2.89,256.829,441.243
-382600,-2.953,256.472,441.146
-382500,-3.105,256.116,441.049
-382400,-3.257,255.76,440.952
-382300,-3.409,255.403,440.855
-382200,-3.561,255.047,440.758
-382100,-3.712,254.691,440.661
-382000,-3.778,254.334,440.564
-381900,-3.838,253.978,440.511
-381800,-3.899,253.622,440.466
-381700,-3.96,253.265,440.421
-381600,-4.02,252.909,440.376
-381500,-4.075,252.553,440.331
-381400,-4.124,252.196,440.286
-381300,-4.172,251.84,440.241
-381200,-4.221,251.484,440.196
-381100,-4.27,251.127,440.151
-381000,-4.319,250.771,440.106
-380900,-4.382,250.415,440.122
-380800,-4.446,250.058,440.148
-380700,-4.51,249.702,440.174
-380600,-4.574,249.346,440.2
-380500,-4.638,248.989,440.226
-380400,-4.692,248.633,440.252
-380300,-4.727,248.277,440.278
-380200,-4.762,247.92,440.304
-380100,-4.797,247.564,440.33
-380000,-4.832,247.208,440.356
-379900,-4.867,246.851,440.449
-379800,-4.852,246.495,440.552
-379700,-4.808,246.139,440.655
-379600,-4.764,245.923,440.758
-379500,-4.72,245.992,440.861
-379400,-4.675,246.062,440.964
-379300,-4.631,246.131,441.067
-379200,-4.57,246.201,441.17
-379100,-4.509,246.27,441.273
-379000,-4.448,246.34,441.376
-378900,-4.386,246.409,441.542
-378800,-4.325,246.479,441.718
-378700,-4.244,246.548,441.894
-378600,-4.137,246.618,442.07
-378500,-4.03,246.687,442.246
-378400,-3.923,246.757,442.422
-378300,-3.816,246.826,442.598
-378200,-3.706,246.896,442.774
-378100,-3.562,246.722,442.95
-378000,-3.418,246.532,443.126
-377900,-3.275,246.342,443.353
-377800,-3.131,246.152,443.589
-377700,-2.991,245.962,443.825
-377600,-3.047,245.772,444.061
-377500,-3.104,245.582,444.297
-377400,-3.16,245.392,444.533
-377300,-3.216,245.202,444.769
-377200,-3.276,245.012,445.005
-377100,-3.432,244.822,445.242
-377000,-3.588,244.632,445.477
-376900,-3.743,244.442,445.743
-376800,-3.899,244.252,446.013
-376700,-4.054,244.063,446.283
-376600,-4.151,243.873,446.553
-376500,-4.24,243.683,446.823
-376400,-4.33,243.493,447.093
-376300,-4.42,243.303,447.363
-376200,-4.51,243.113,447.633
-376100,-4.603,242.923,447.903
-376000,-4.699,242.733,448.173
-375900,-4.795,242.543,448.446
