BP,Temp,CO2,Radiation
-331400,-5.831,243.347,477.736
-331300,-5.76,242.58,477.377
-331200,-5.738,241.813,477.018
-331100,-5.717,241.045,476.659
-331000,-5.695,240.278,476.299
-330900,-5.674,239.51,475.725
-330800,-5.556,238.743,475.124
-330700,-5.418,237.976,474.523
-330600,-5.281,237.208,473.922
-330500,-5.143,236.441,473.321
-330400,-5.07,235.673,472.72
-330300,-5.016,234.906,472.119
-330200,-4.963,234.247,471.518
-330100,-4.91,234.831,470.917
-330000,-4.829,235.416,470.316
-329900,-4.741,236,469.541
-329800,-4.653,236.585,468.745
-329700,-4.565,237.169,467.949
-329600,-4.473,237.754,467.153
-329500,-4.379,238.338,466.357
-329400,-4.286,238.923,465.561
-329300,-4.184,239.507,464.765
-329200,-4.038,239.826,463.969
-329100,-3.892,240.014,463.173
-329000,-3.746,240.202,462.377
-328900,-3.638,240.39,461.458
-328800,-3.561,240.578,460.525
-328700,-3.485,240.766,459.592
-328600,-3.408,240.954,458.659
-328500,-3.297,241.142,457.726
-328400,-3.187,241.33,456.793
-328300,-3.076,241.518,455.86
-328200,-2.962,241.706,454.927
-328100,-2.846,241.894,453.994
-328000,-2.729,243.262,453.061
-327900,-2.633,244.666,452.072
-327800,-2.606,246.07,451.076
-327700,-2.578,247.473,450.079
-327600,-2.551,248.877,449.083
-327500,-2.508,250.281,448.087
-327400,-2.465,251.685,447.091
-327300,-2.422,253.089,446.095
-327200,-2.405,254.493,445.099
-327100,-2.399,255.937,444.103
-327000,-2.393,257.628,443.107
-326900,-2.28,259.32,442.12
-326800,-2.069,261.011,441.134
-326700,-1.859,262.703,440.148
-326600,-1.629,264.394,439.162
-326500,-1.37,266.085,438.176
-326400,-1.11,267.777,437.19
-326300,-0.854,269.468,436.204
-326200,-0.601,270.949,435.217
-326100,-0.349,272.101,434.231
-326000,-0.183,273.253,433.245
-325900,-0.072,274.404,432.336
-325800,0.038,275.556,431.436
-325700,0.264,276.708,430.536
-325600,0.504,277.859,429.636
-325500,0.779,279.058,428.736
-325400,1.144,280.382,427.836
-325300,1.51,281.707,426.936
-325200,1.639,283.032,426.036
-325100,1.702,284.356,425.136
-325000,1.783,285.681,424.236
-324900,1.894,284.938,423.47
-324800,2.006,283.99,422.72
-324700,2.154,283.042,421.97
-324600,2.302,282.095,421.22
-324500,2.442,281.147,420.469
-324400,2.58,280.2,419.719
-324300,2.697,279.252,418.969
-324200,2.792,278.304,418.219
-324100,2.857,280.792,417.469
-324000,2.848,283.704,416.719
-323900,2.848,286.616,416.151
-323800,2.917,289.527,415.604
-323700,2.987,292.439,415.057
-323600,3.057,295.351,414.51
-323500,3.127,298.263,413.963
-323400,3.117,297.37,413.416
-323300,3.089,295.804,412.869
-323200,3.08,294.239,412.322
-323100,3.08,292.673,411.775
-323000,3.107,291.108,411.227
-322900,3.155,289.543,410.896
-322800,3.182,288.488,410.59
-322700,3.187,288.815,410.284
-322600,3.124,289.141,409.978
-322500,2.949,288.016,409.672
-322400,2.824,286.572,409.366
-322300,2.838,285.129,409.06
-322200,2.837,283.685,408.754
-322100,2.743,282.26,408.448
-322000,2.65,280.992,408.142
-321900,2.433,279.723,408.068
-321800,2.217,278.454,408.021
-321700,1.987,277.185,407.974
-321600,1.755,275.916,407.927
-321500,1.557,274.647,407.88
-321400,1.383,273.378,407.833
-321300,1.245,273.157,407.786
-321200,1.194,273.108,407.739
-321100,1.143,273.058,407.692
-321000,0.838,273.009,407.645
-320900,0.52,272.959,407.829
-320800,0.274,272.909,408.04
-320700,0.086,272.86,408.251
-320600,-0.092,272.81,408.462
-320500,-0.128,272.761,408.673
-320400,-0.164,272.711,408.884
-320300,-0.167,272.588,409.095
-320200,-0.143,272.443,409.306
-320100,-0.118,272.299,409.517
-320000,-0.009,272.155,409.728
-319900,0.099,272.011,410.153
-319800,0.169,271.866,410.602
-319700,0.206,271.326,411.051
-319600,0.237,270.447,411.5
-319500,0.205,269.569,411.949
-319400,0.172,268.69,412.398
-319300,0.124,267.811,412.847
-319200,0.067,266.933,413.296
-319100,0.019,266.054,413.745
-319000,0.015,265.176,414.194
-318900,0.011,265.532,414.82
-318800,0.066,266.196,415.466
-318700,0.144,266.861,416.112
-318600,0.179,267.525,416.758
-318500,0.105,268.19,417.404
-318400,0.031,268.854,418.05
-318300,0.003,269.519,418.696
-318200,-0.018,270.183,419.342
-318100,-0.048,270.848,419.988
-318000,-0.094,271.512,420.634
-317900,-0.139,272.177,421.405
-317800,-0.25,272.841,422.19
-317700,-0.362,273.506,422.975
-317600,-0.414,274.17,423.76
-317500,-0.402,274.835,424.545
-317400,-0.389,275.006,425.33
-317300,-0.312,274.574,426.115
-317200,-0.235,274.142,426.9
-317100,-0.229,273.71,427.685
-317000,-0.282,273.278,428.471
-316900,-0.324,272.846,429.317
-316800,-0.262,272.414,430.17
-316700,-0.201,271.982,431.023
-316600,-0.18,271.714,431.876
-316500,-0.18,271.485,432.729
-316400,-0.212,271.255,433.582
-316300,-0.347,271.026,434.435
-316200,-0.482,270.797,435.288
-316100,-0.494,270.567,436.141
-316000,-0.473,270.338,436.994
-315900,-0.463,269.999,437.836
-315800,-0.471,269.497,438.677
-315700,-0.479,268.996,439.518
-315600,-0.538,268.494,440.36
-315500,-0.603,267.992,441.201
-315400,-0.697,267.49,442.042
-315300,-0.83,266.988,442.883
-315200,-0.962,266.486,443.724
-315100,-0.977,266.203,444.565
-315000,-0.985,266.209,445.406
-314900,-1.009,266.215,446.167
-314800,-1.053,266.221,446.919
-314700,-1.096,266.227,447.671
-314600,-1.18,266.233,448.423
-314500,-1.266,266.239,449.175
-314400,-1.326,266.245,449.927
-314300,-1.342,266.251,450.679
-314200,-1.357,266.257,451.431
-314100,-1.367,266.263,452.183
-314000,-1.374,266.269,452.935
-313900,-1.376,266.275,453.54
-313800,-1.36,266.281,454.13
-313700,-1.344,266.287,454.719
-313600,-1.418,266.294,455.308
-313500,-1.524,266.3,455.897
-313400,-1.623,265.975,456.486
-313300,-1.692,265.626,457.075
-313200,-1.762,265.277,457.664
-313100,-1.82,264.928,458.253
-313000,-1.87,264.579,458.842
-312900,-1.92,264.23,459.235
-312800,-2.058,263.881,459.607
-312700,-2.198,263.532,459.979
-312600,-2.298,263.183,460.351
-312500,-2.32,262.834,460.723
-312400,-2.343,262.485,461.095
-312300,-2.375,262.136,461.467
-312200,-2.412,261.787,461.839
-312100,-2.45,261.438,462.211
-312000,-2.365,261.089,462.583
-311900,-2.279,260.74,462.73
-311800,-2.233,260.391,462.852
-311700,-2.275,260.309,462.974
-311600,-2.317,260.321,463.096
-311500,-2.345,260.333,463.218
-311400,-2.368,260.344,463.34
-311300,-2.391,260.356,463.462
-311200,-2.447,260.368,463.584
-311100,-2.503,260.38,463.706
-311000,-2.571,260.392,463.828
-310900,-2.66,260.262,463.717
-310800,-2.75,259.802,463.581
-310700,-2.848,259.342,463.445
-310600,-2.95,258.882,463.309
-310500,-3.053,258.421,463.173
-310400,-3.147,257.961,463.037
-310300,-3.241,257.501,462.901
-310200,-3.324,257.041,462.765
-310100,-3.349,256.581,462.629
-310000,-3.374,256.157,462.493
-309900,-3.426,255.791,462.141
-309800,-3.532,255.424,461.766
-309700,-3.638,255.058,461.391
-309600,-3.715,254.692,461.016
-309500,-3.764,254.325,460.641
-309400,-3.813,253.959,460.266
-309300,-3.837,253.593,459.891
-309200,-3.847,253.226,459.516
-309100,-3.858,252.86,459.141
-309000,-3.884,252.494,458.766
-308900,-3.915,252.127,458.215
-308800,-3.947,251.761,457.645
-308700,-3.993,251.395,457.075
-308600,-4.042,251.028,456.505
-308500,-4.09,250.662,455.935
-308400,-4.199,250.295,455.365
-308300,-4.308,249.929,454.795
-308200,-4.416,249.563,454.225
-308100,-4.51,249.207,453.655
-308000,-4.604,249.898,453.085
-307900,-4.687,250.588,452.393
-307800,-4.65,251.279,451.688
-307700,-4.614,251.97,450.982
-307600,-4.584,252.661,450.277
-307500,-4.631,253.351,449.572
-307400,-4.677,254.042,448.867
-307300,-4.731,254.733,448.162
-307200,-4.853,255.423,447.457
-307100,-4.974,255.71,446.752
-307000,-5.091,255.096,446.047
-306900,-5.107,254.482,445.287
-306800,-5.123,253.869,444.521
-306700,-5.14,253.255,443.755
-306600,-5.266,252.641,442.989
-306500,-5.394,252.028,442.223
-306400,-5.522,251.414,441.457
-306300,-5.507,250.8,440.691
-306200,-5.469,250.187,439.925
-306100,-5.43,249.573,439.159
-306000,-5.354,248.959,438.393
-305900,-5.263,248.345,437.637
-305800,-5.173,247.732,436.883
-305700,-5.072,247.118,436.129
-305600,-4.966,246.504,435.375
-305500,-4.859,245.891,434.621
-305400,-4.712,245.277,433.867
-305300,-4.541,244.759,433.113
-305200,-4.37,245.736,432.359
-305100,-4.273,246.714,431.605
-305000,-4.206,247.692,430.851
-304900,-4.139,248.669,430.173
-304800,-4.053,249.647,429.503
-304700,-3.964,250.625,428.833
-304600,-3.871,251.602,428.163
-304500,-3.717,254.667,427.493
-304400,-3.563,257.964,426.823
-304300,-3.406,261.26,426.153
-304200,-3.244,264.557,425.483
-304100,-3.082,267.854,424.813
-304000,-2.99,271.151,424.143
-303900,-2.932,270.491,423.604
-303800,-2.859,266.323,423.079
-303700,-2.644,262.155,422.554
-303600,-2.43,257.987,422.029
-303500,-2.196,253.819,421.504
-303400,-1.948,249.651,420.979
-303300,-1.76,247.299,420.454
-303200,-1.886,248.472,419.929
-303100,-2.011,249.645,419.404
-303000,-2.116,250.818,418.879
-302900,-2.215,251.991,418.528
-302800,-2.403,253.165,418.195
-302700,-2.766,254.338,417.862
-302600,-3.128,255.511,417.529
-302500,-3.332,256.684,417.196
-302400,-3.503,257.177,416.863
-302300,-3.572,257.135,416.53
-302200,-3.232,257.093,416.197
-302100,-2.893,257.052,415.864
-302000,-2.701,257.01,415.531
-301900,-2.604,256.968,415.397
-301800,-2.561,256.927,415.284
-301700,-2.877,256.885,415.171
-301600,-3.194,256.843,415.058
-301500,-3.226,256.802,414.945
-301400,-3.069,256.224,414.832
-301300,-2.925,255.624,414.719
-301200,-3.024,255.024,414.606
-301100,-3.123,254.424,414.493
-301000,-3.129,253.824,414.38
-300900,-3.05,253.224,414.478
-300800,-2.971,252.624,414.597
-300700,-3.033,252.024,414.716
-300600,-3.096,251.114,414.835
-300500,-3.154,249.839,414.954
-300400,-3.205,248.565,415.073
-300300,-3.256,247.291,415.192
-300200,-3.194,246.016,415.311
-300100,-3.123,244.742,415.43
-300000,-3.097,243.468,415.549
-299900,-3.141,242.193,415.872
-299800,-3.185,241.639,416.215
-299700,-3.28,241.301,416.558
-299600,-3.382,240.963,416.901
-299500,-3.481,240.624,417.244
-299400,-3.574,240.286,417.587
-299300,-3.667,239.948,417.93
-299200,-3.79,239.609,418.273
-299100,-3.923,239.271,418.616
-299000,-4.03,238.977,418.959
-298900,-3.942,238.864,419.483
-298800,-3.855,238.75,420.025
-298700,-3.882,238.637,420.567
-298600,-4.03,238.523,421.109
-298500,-4.178,238.41,421.651
-298400,-4.288,238.296,422.193
-298300,-4.392,238.183,422.735
-298200,-4.485,238.069,423.277
-298100,-4.518,237.956,423.819
-298000,-4.551,237.64,424.361
-297900,-4.59,237.129,425.048
-297800,-4.638,236.618,425.749
-297700,-4.685,236.107,426.45
-297600,-4.75,235.596,427.151
-297500,-4.822,235.085,427.852
-297400,-4.895,234.574,428.553
-297300,-4.87,234.063,429.254
-297200,-4.837,233.553,429.955
-297100,-4.816,233.072,430.657
-297000,-4.856,232.658,431.358
-296900,-4.896,232.245,432.152
-296800,-4.937,231.832,432.957
-296700,-4.98,231.418,433.761
-296600,-5.024,231.005,434.565
-296500,-4.924,230.591,435.369
-296400,-4.737,230.178,436.173
-296300,-4.551,229.765,436.977
-296200,-4.543,229.351,437.781
-296100,-4.558,228.938,438.585
-296000,-4.597,228.524,439.389
-295900,-4.734,228.111,440.23
-295800,-4.87,227.821,441.075
-295700,-4.944,227.659,441.92
-295600,-4.951,227.496,442.765
-295500,-4.958,227.334,443.611
-295400,-5.006,227.172,444.456
-295300,-5.067,227.01,445.301
-295200,-5.129,226.848,446.146
-295100,-5.204,226.686,446.991
-295000,-5.279,226.524,447.836
-294900,-5.355,226.362,448.656
-294800,-5.433,226.2,449.474
-294700,-5.511,226.038,450.292
-294600,-5.624,226.204,451.11
-294500,-5.797,228.227,451.928
-294400,-5.97,230.25,452.746
-294300,-5.983,232.274,453.565
-294200,-5.824,234.297,454.383
-294100,-5.664,236.321,455.201
-294000,-5.544,238.344,456.019
-293900,-5.452,240.368,456.752
-293800,-5.359,242.391,457.477
-293700,-5.306,244.414,458.202
-293600,-5.262,245.235,458.927
-293500,-5.217,245.676,459.652
-293400,-5.046,246.117,460.377
-293300,-4.876,246.558,461.102
-293200,-4.624,246.999,461.827
-293100,-4.198,247.44,462.552
-293000,-3.772,247.881,463.277
-292900,-3.605,248.322,463.864
-292800,-3.519,248.763,464.438
-292700,-3.468,249.204,465.012
-292600,-3.493,249.644,465.586
-292500,-3.518,250.085,466.16
-292400,-3.741,249.203,466.735
-292300,-3.987,247.855,467.309
-292200,-4.21,246.508,467.883
-292100,-4.402,245.16,468.457
-292000,-4.593,243.813,469.031
-291900,-4.766,242.465,469.425
-291800,-4.936,241.118,469.802
-291700,-5.059,240.671,470.179
-291600,-5.006,240.63,470.556
-291500,-4.954,240.588,470.933
-291400,-4.871,240.546,471.31
-291300,-4.764,240.504,471.687
-291200,-4.657,240.463,472.064
-291100,-4.826,240.421,472.441
-291000,-5.016,240.379,472.818
-290900,-5.176,240.337,472.99
-290800,-5.265,240.296,473.143
-290700,-5.354,240.254,473.296
-290600,-5.522,240.212,473.449
-290500,-5.741,240.096,473.602
-290400,-5.961,239.949,473.755
-290300,-6,239.802,473.908
-290200,-6,239.655,474.061
-290100,-6,239.509,474.214
-290000,-5.841,239.362,474.367
-289900,-5.682,239.215,474.307
-289800,-5.569,239.068,474.227
-289700,-5.609,238.922,474.147
-289600,-5.65,238.775,474.067
-289500,-5.739,238.628,473.987
-289400,-5.879,238.481,473.907
-289300,-6.019,238.334,473.827
-289200,-6.17,238.188,473.747
-289100,-6.324,238.041,473.667
-289000,-6.478,237.894,473.587
-288900,-6.452,237.747,473.304
-288800,-6.397,237.6,473.003
-288700,-6.341,237.454,472.702
-288600,-6.151,237.307,472.401
-288500,-5.958,237.16,472.1
-288400,-5.792,237.013,471.799
-288300,-5.748,236.866,471.498
-288200,-5.704,236.72,471.197
-288100,-5.58,236.573,470.896
-288000,-5.358,236.426,470.595
-287900,-5.137,236.279,470.117
-287800,-5.147,235.867,469.623
-287700,-5.22,235.142,469.129
-287600,-5.302,234.418,468.635
-287500,-5.43,233.694,468.141
-287400,-5.557,232.969,467.647
-287300,-5.684,232.245,467.153
-287200,-5.809,231.521,466.659
-287100,-5.934,230.796,466.165
-287000,-6.014,230.072,465.671
-286900,-6.083,229.347,465.041
-286800,-6.15,228.623,464.399
-286700,-6.132,227.899,463.757
-286600,-6.114,227.174,463.115
-286500,-6.115,226.45,462.473
-286400,-6.177,225.726,461.831
-286300,-6.238,225.001,461.189
-286200,-6.292,224.33,460.547
-286100,-6.339,223.919,459.905
-286000,-6.385,223.508,459.263
-285900,-6.441,223.097,458.531
-285800,-6.501,222.686,457.791
-285700,-6.562,222.275,457.051
-285600,-6.695,221.864,456.311
-285500,-6.841,221.453,455.571
-285400,-6.987,221.042,454.831
-285300,-7.142,220.631,454.091
-285200,-7.298,220.22,453.351
-285100,-7.449,219.809,452.611
-285000,-7.399,219.398,451.871
-284900,-7.348,218.987,451.093
-284800,-7.3,218.576,450.312
-284700,-7.289,218.165,449.531
-284600,-7.279,217.754,448.75
-284500,-7.258,217.343,447.969
-284400,-7.106,216.932,447.188
-284300,-6.954,216.521,446.407
-284200,-6.773,216.11,445.626
-284100,-6.455,215.699,444.845
-284000,-6.137,215.288,444.063
-283900,-5.886,214.877,443.293
-283800,-5.731,214.466,442.524
-283700,-5.576,214.055,441.755
-283600,-5.543,213.644,440.986
-283500,-5.547,213.233,440.217
-283400,-5.528,213.161,439.448
-283300,-5.4,213.119,438.679
-283200,-5.271,213.077,437.91
-283100,-5.131,213.035,437.141
-283000,-4.983,212.994,436.372
-282900,-4.862,212.952,435.658
-282800,-4.983,212.91,434.949
-282700,-5.103,212.868,434.24
-282600,-5.274,212.826,433.531
-282500,-5.477,212.784,432.822
-282400,-5.676,212.742,432.113
-282300,-5.786,212.698,431.404
-282200,-5.897,212.517,430.695
-282100,-6.029,212.336,429.986
-282000,-6.189,212.154,429.277
-281900,-6.35,211.973,428.659
-281800,-6.42,211.792,428.049
-281700,-6.461,211.61,427.439
-281600,-6.497,211.429,426.829
-281500,-6.353,211.248,426.219
-281400,-6.208,211.067,425.609
-281300,-6.055,210.885,424.999
-281200,-5.882,210.704,424.389
-281100,-5.71,210.523,423.778
-281000,-5.559,210.341,423.168
-280900,-5.418,210.16,422.674
-280800,-5.326,209.979,422.19
-280700,-5.48,209.798,421.706
-280600,-5.635,209.616,421.222
-280500,-5.81,209.435,420.738
-280400,-5.998,209.254,420.254
-280300,-6.18,209.072,419.77
-280200,-6.176,208.891,419.286
-280100,-6.172,208.71,418.802
-280000,-6.069,208.529,418.318
-279900,-5.805,208.347,417.966
-279800,-5.54,208.166,417.625
-279700,-5.363,207.985,417.284
-279600,-5.205,207.803,416.943
-279500,-5.041,208.134,416.602
-279400,-4.863,209.144,416.261
-279300,-4.684,210.153,415.92
-279200,-4.58,211.163,415.579
-279100,-4.482,212.172,415.238
-279000,-4.438,213.182,414.897
-278900,-4.433,214.192,414.692
-278800,-4.431,215.201,414.499
-278700,-4.435,216.211,414.306
-278600,-4.44,217.21,414.113
-278500,-4.448,217.682,413.92
-278400,-4.457,218.155,413.727
-278300,-4.455,218.628,413.534
-278200,-4.446,219.1,413.341
-278100,-4.382,219.573,413.148
-278000,-4.188,220.046,412.955
-277900,-3.999,220.498,412.894
-277800,-3.977,220.89,412.844
-277700,-3.954,221.281,412.794
-277600,-3.826,221.673,412.744
-277500,-3.672,222.064,412.694
-277400,-3.531,222.456,412.644
-277300,-3.401,222.847,412.594
-277200,-3.26,223.239,412.544
-277100,-3.108,223.631,412.494
-277000,-2.987,224.022,412.444
-276900,-2.924,224.414,412.517
-276800,-2.948,224.805,412.6
-276700,-3.174,225.197,412.683
-276600,-3.378,225.588,412.766
-276500,-3.505,225.98,412.849
-276400,-3.614,226.372,412.932
-276300,-3.549,226.763,413.015
-276200,-3.483,227.155,413.098
-276100,-3.435,227.546,413.181
-276000,-3.388,227.938,413.264
-275900,-3.439,228.329,413.453
-275800,-3.51,228.721,413.651
-275700,-3.591,229.113,413.849
-275600,-3.675,229.504,414.047
-275500,-3.715,229.896,414.245
-275400,-3.725,230.287,414.443
-275300,-3.811,230.679,414.641
-275200,-3.995,230.986,414.839
-275100,-4.108,230.908,415.037
-275000,-4.025,230.831,415.235
-274900,-3.95,230.753,415.519
-274800,-3.95,230.676,415.81
-274700,-3.95,230.598,416.101
-274600,-3.886,230.52,416.392
-274500,-3.816,230.443,416.683
-274400,-3.814,230.274,416.974
-274300,-3.833,229.995,417.265
-274200,-3.916,229.716,417.556
-274100,-4.037,229.437,417.847
-274000,-4.198,229.158,418.138
-273900,-4.401,228.879,418.496
-273800,-4.523,228.6,418.859
-273700,-4.424,228.32,419.222
-273600,-4.33,228.041,419.585
-273500,-4.33,227.762,419.948
-273400,-4.33,227.483,420.311
-273300,-4.338,227.204,420.674
-273200,-4.347,226.925,421.037
-273100,-4.374,226.646,421.4
-273000,-4.41,226.426,421.763
-272900,-4.476,226.64,422.173
-272800,-4.575,226.855,422.587
-272700,-4.677,227.069,423.001
-272600,-4.788,227.283,423.415
-272500,-4.9,227.498,423.829
-272400,-4.766,227.712,424.243
-272300,-4.632,227.927,424.657
-272200,-4.668,228.141,425.071
-272100,-4.758,228.355,425.485
-272000,-4.995,228.57,425.899
-271900,-5.363,228.784,426.341
-271800,-5.658,228.999,426.785
-271700,-5.696,229.213,427.229
-271600,-5.734,229.427,427.673
-271500,-5.708,229.642,428.117
-271400,-5.67,229.856,428.561
-271300,-5.579,230.071,429.005
-271200,-5.429,230.285,429.449
-271100,-5.308,230.5,429.894
-271000,-5.369,230.714,430.338
-270900,-5.43,230.928,430.792
-270800,-5.567,231.143,431.247
-270700,-5.72,231.357,431.702
-270600,-5.84,231.092,432.157
-270500,-5.924,230.707,432.612
-270400,-5.998,230.323,433.067
-270300,-5.977,229.938,433.522
-270200,-5.956,229.553,433.977
-270100,-6.098,229.168,434.432
-270000,-6.312,228.783,434.887
-269900,-6.483,228.399,435.338
-269800,-6.531,228.014,435.789
-269700,-6.579,227.629,436.24
-269600,-6.609,227.244,436.691
-269500,-6.633,226.859,437.142
-269400,-6.672,226.475,437.593
-269300,-6.748,226.09,438.044
-269200,-6.823,225.705,438.496
-269100,-6.818,225.32,438.947
-269000,-6.791,224.935,439.398
-268900,-6.753,224.55,439.831
-268800,-6.689,224.166,440.263
-268700,-6.625,223.781,440.695
-268600,-6.403,223.173,441.127
-268500,-6.135,222.507,441.559
-268400,-6.051,221.84,441.991
-268300,-6.313,221.173,442.423
-268200,-6.574,220.507,442.855
-268100,-6.692,219.84,443.287
-268000,-6.801,219.173,443.719
-267900,-6.936,218.507,444.119
-267800,-7.101,217.84,444.516
-267700,-7.267,217.173,444.913
-267600,-7.41,216.507,445.31
-267500,-7.552,215.84,445.707
-267400,-7.651,215.241,446.104
-267300,-7.655,214.774,446.501
-267200,-7.659,214.307,446.898
-267100,-7.629,213.84,447.295
-267000,-7.584,213.373,447.692
-266900,-7.544,212.906,448.046
-266800,-7.624,212.439,448.397
-266700,-7.704,211.972,448.748
-266600,-7.727,211.505,449.099
-266500,-7.674,211.037,449.45
-266400,-7.621,210.512,449.801
-266300,-7.476,209.981,450.152
-266200,-7.309,209.45,450.503
-266100,-7.233,208.919,450.854
-266000,-7.466,208.389,451.205
-265900,-7.699,207.858,451.498
-265800,-7.97,207.327,451.786
-265700,-8.263,206.796,452.074
-265600,-8.555,206.266,452.362
-265500,-8.417,205.735,452.65
-265400,-8.257,205.204,452.938
-265300,-8.108,204.673,453.226
-265200,-8.003,204.143,453.514
-265100,-7.897,203.612,453.802
-265000,-7.852,203.081,454.09
-264900,-7.856,202.55,454.309
-264800,-7.86,201.812,454.523
-264700,-7.739,200.67,454.737
-264600,-7.608,199.527,454.951
-264500,-7.572,198.385,455.165
-264400,-7.73,197.243,455.379
-264300,-7.887,196.101,455.593
-264200,-8.093,194.959,455.807
-264100,-8.316,193.817,456.021
-264000,-8.527,193.485,456.235
-263900,-8.442,194.105,456.367
-263800,-8.358,194.725,456.493
-263700,-8.274,195.345,456.619
-263600,-8.191,195.964,456.745
-263500,-8.108,196.584,456.871
-263400,-8.092,197.204,456.997
-263300,-8.111,197.824,457.123
-263200,-8.131,198.363,457.249
-263100,-8.239,197.835,457.375
-263000,-8.348,197.308,457.501
-262900,-8.394,196.78,457.537
-262800,-8.316,196.253,457.566
-262700,-8.237,195.725,457.595
-262600,-8.232,195.197,457.624
-262500,-8.266,194.67,457.653
-262400,-8.3,194.196,457.682
-262300,-8.344,194.159,457.711
-262200,-8.389,194.122,457.74
-262100,-8.39,194.086,457.769
-262000,-8.292,194.049,457.798
-261900,-8.194,194.012,457.73
-261800,-8.167,193.975,457.655
-261700,-8.179,193.939,457.58
-261600,-8.192,193.902,457.505
-261500,-8.282,193.505,457.43
-261400,-8.372,193.089,457.355
-261300,-8.43,192.672,457.28
-261200,-8.43,192.256,457.205
-261100,-8.43,191.84,457.13
-261000,-8.453,191.424,457.055
-260900,-8.487,191.008,456.883
-260800,-8.519,190.591,456.704
-260700,-8.421,190.013,456.525
-260600,-8.323,189.297,456.346
-260500,-8.267,188.581,456.167
-260400,-8.286,187.865,455.988
-260300,-8.305,187.149,455.809
-260200,-8.307,186.433,455.63
-260100,-8.303,185.717,455.451
-260000,-8.289,185.001,455.272
-259900,-8.17,185.828,455.002
-259800,-8.05,187.773,454.726
-259700,-8.002,189.719,454.45
-259600,-8.025,191.664,454.174
-259500,-8.048,193.609,453.898
-259400,-8.064,195.554,453.622
-259300,-8.08,197.5,453.346
-259200,-8.075,198.725,453.07
-259100,-8.032,198.099,452.794
-259000,-7.989,197.473,452.518
-258900,-7.989,196.847,452.167
-258800,-8.001,196.221,451.81
-258700,-7.979,195.596,451.453
-258600,-7.844,194.97,451.095
-258500,-7.709,194.344,450.738
-258400,-7.621,193.856,450.381
-258300,-7.552,193.409,450.024
-258200,-7.534,192.961,449.667
-258100,-7.674,192.514,449.31
-258000,-7.815,192.067,448.953
-257900,-7.805,191.62,448.542
-257800,-7.745,191.173,448.127
-257700,-7.687,190.726,447.712
-257600,-7.639,190.279,447.297
-257500,-7.59,189.831,446.882
-257400,-7.528,189.384,446.467
-257300,-7.463,188.937,446.052
-257200,-7.379,190.149,445.637
-257100,-7.258,193.232,445.222
-257000,-7.137,196.315,444.807
-256900,-7.05,199.398,444.366
-256800,-6.965,202.482,443.923
-256700,-6.935,205.565,443.48
-256600,-6.944,208.648,443.037
-256500,-6.922,211.674,442.594
-256400,-6.809,209.04,442.151
-256300,-6.697,206.406,441.708
-256200,-6.553,203.772,441.264
-256100,-6.407,201.138,440.821
-256000,-6.381,201.729,440.378
-255900,-6.413,205.18,439.943
-255800,-6.422,208.632,439.508
-255700,-6.404,212.083,439.073
-255600,-6.369,215.534,438.638
-255500,-6.265,218.985,438.203
-255400,-6.161,222.437,437.768
-255300,-5.981,225.888,437.333
-255200,-5.801,227.871,436.898
-255100,-5.628,226.873,436.463
-255000,-5.458,225.875,436.028
-254900,-5.315,224.877,435.635
-254800,-5.183,223.88,435.245
-254700,-5.289,222.882,434.855
-254600,-5.511,221.884,434.465
-254500,-5.837,220.886,434.075
-254400,-6.233,219.889,433.685
-254300,-6.51,218.891,433.295
-254200,-6.644,217.893,432.905
-254100,-6.739,216.895,432.515
-254000,-6.685,215.897,432.125
-253900,-6.632,214.9,431.813
-253800,-6.736,214.196,431.507
-253700,-6.847,213.567,431.201
-253600,-6.895,212.937,430.895
-253500,-6.917,212.307,430.589
-253400,-6.967,211.677,430.283
-253300,-7.054,211.047,429.977
-253200,-7.097,210.418,429.671
-253100,-6.841,209.788,429.365
-253000,-6.586,209.158,429.059
-252900,-6.336,208.933,428.863
-252800,-6.087,208.988,428.674
-252700,-6.163,209.044,428.485
-252600,-6.386,209.1,428.296
-252500,-6.649,209.155,428.107
-252400,-6.948,209.211,427.918
-252300,-7.113,209.267,427.729
-252200,-6.95,209.322,427.54
-252100,-6.785,209.378,427.351
-252000,-6.538,209.434,427.162
-251900,-6.292,209.489,427.109
-251800,-6.346,209.545,427.065
-251700,-6.461,209.6,427.021
-251600,-6.494,209.656,426.977
-251500,-6.485,209.585,426.933
-251400,-6.449,209.038,426.889
-251300,-6.385,208.491,426.845
-251200,-6.248,207.944,426.801
-251100,-5.953,207.396,426.757
-251000,-5.676,206.849,426.713
-250900,-5.464,206.302,426.821
-250800,-5.292,205.755,426.939
-250700,-5.302,205.208,427.057
-250600,-5.386,204.661,427.175
-250500,-5.805,204.113,427.293
-250400,-6.191,203.904,427.411
-250300,-6.355,203.911,427.529
-250200,-6.518,203.918,427.647
-250100,-6.46,203.924,427.765
-250000,-6.4,203.931,427.883
-249900,-6.279,203.938,428.157
-249800,-6.147,203.945,428.441
-249700,-6.236,203.951,428.725
-249600,-6.41,203.958,429.009
-249500,-6.488,203.965,429.293
-249400,-6.502,203.972,429.577
-249300,-6.562,203.978,429.861
-249200,-6.677,203.985,430.145
-249100,-6.821,203.992,430.429
-249000,-7.038,203.999,430.713
-248900,-7.245,203.812,431.145
-248800,-7.32,203.577,431.586
